#{"t_start": 1744979297.9210398, "env_id": "None"}
r,l,t
0.0,1,21.576625
0.0,1,21.606616
0.0,1,21.636652
0.0,1,21.670618
0.0,1,21.70462
0.0,1,21.736617
0.0,1,21.768651
0.0,1,21.79862
0.0,1,21.826644
0.0,1,21.854641
0.0,1,21.891631
0.0,1,21.920618
0.0,1,21.950625
0.0,1,21.98262
0.0,1,22.011623
0.0,1,22.040624
0.0,1,22.071624
0.0,1,22.103641
0.0,1,22.131654
0.0,1,22.161624
0.0,1,22.19462
0.0,1,22.223624
0.0,1,22.25362
0.0,1,22.284621
0.0,1,22.316621
0.0,1,22.346622
0.0,1,22.376645
0.0,1,22.40362
0.0,1,22.434646
0.0,1,22.464649
0.0,1,22.498646
0.0,1,22.527626
0.0,1,22.56063
0.0,1,22.590625
0.0,1,22.619624
0.0,1,22.651657
0.0,1,22.680657
0.0,1,22.709626
0.0,1,22.737637
0.0,1,22.821638
0.0,1,22.856627
0.0,1,22.885624
0.0,1,22.916625
0.0,1,22.945631
0.0,1,22.975635
0.0,1,23.006626
0.0,1,23.034628
0.0,1,23.062629
0.0,1,23.089626
0.0,1,23.119654
0.0,1,23.152628
0.0,1,23.181625
0.0,1,23.213629
0.0,1,23.248627
0.0,1,23.280655
0.0,1,23.312627
0.0,1,23.342651
0.0,1,23.371627
0.0,1,23.401628
0.0,1,23.430629
0.0,1,23.463658
0.0,1,23.494632
0.0,1,23.52163
0.0,1,23.55063
0.0,1,23.579628
0.0,1,23.606629
0.0,1,23.634633
0.0,1,23.664656
0.0,1,23.692634
0.0,1,23.718655
0.0,1,23.751629
0.0,1,23.782664
0.0,1,23.811631
0.0,1,23.839632
0.0,1,23.86663
0.0,1,23.89763
0.0,1,23.924636
0.0,1,23.951631
0.0,1,23.979633
0.0,1,24.009665
0.0,1,24.042631
0.0,1,24.070631
0.0,1,24.100634
0.0,1,24.131659
0.0,1,24.159634
0.0,1,24.185636
0.0,1,24.211657
0.0,1,24.241658
0.0,1,24.269656
0.0,1,24.298635
0.0,1,24.333667
0.0,1,24.361633
0.0,1,24.387636
0.0,1,24.453645
0.0,1,24.494635
0.0,1,24.523638
0.0,1,24.54966
0.0,1,24.580646
0.0,1,24.609636
0.0,1,24.636636
0.0,1,24.670636
0.0,1,24.702635
0.0,1,24.732663
0.0,1,24.763641
0.0,1,24.796635
0.0,1,24.826644
0.0,1,24.854638
0.0,1,24.883652
0.0,1,24.916646
0.0,1,24.944644
0.0,1,24.977642
0.0,1,25.006647
0.0,1,25.037639
0.0,1,25.066639
0.0,1,25.095638
0.0,1,25.12464
0.0,1,25.154639
0.0,1,25.182669
0.0,1,25.213639
0.0,1,25.246641
0.0,1,25.281644
0.0,1,25.312652
0.0,1,25.342639
0.0,1,25.373659
0.0,1,25.401639
0.0,1,25.43266
0.0,1,25.466639
0.0,1,25.498643
0.0,1,25.529643
0.0,1,25.561674
0.0,1,25.599665
0.0,1,25.63064
0.0,1,25.660678
0.0,1,25.692641
0.0,1,25.726673
0.0,1,25.75666
0.0,1,25.789643
0.0,1,25.819642
0.0,1,25.850642
0.0,1,25.878642
0.0,1,25.914666
0.0,1,25.945648
0.0,1,25.976651
0.0,1,26.008643
0.0,1,26.035667
0.0,1,26.115652
0.0,1,26.153647
0.0,1,26.181659
0.0,1,26.210644
0.0,1,26.241664
0.0,1,26.274655
0.0,1,26.304647
0.0,1,26.33568
0.0,1,26.365645
0.0,1,26.396645
0.0,1,26.426649
0.0,1,26.456645
0.0,1,26.486646
0.0,1,26.514648
0.0,1,26.543648
0.0,1,26.578681
0.0,1,26.607647
0.0,1,26.634671
0.0,1,26.662673
0.0,1,26.694647
0.0,1,26.721682
0.0,1,26.750647
0.0,1,26.781648
0.0,1,26.80967
0.0,1,26.836648
0.0,1,26.872648
0.0,1,26.907652
0.0,1,26.938661
0.0,1,26.970651
0.0,1,27.001649
0.0,1,27.031677
0.0,1,27.059651
0.0,1,27.086675
0.0,1,27.116649
0.0,1,27.145649
0.0,1,27.177652
0.0,1,27.205652
0.0,1,27.234648
0.0,1,27.26365
0.0,1,27.292651
0.0,1,27.321686
0.0,1,27.354652
0.0,1,27.385665
0.0,1,27.413676
0.0,1,27.443653
0.0,1,27.479651
0.0,1,27.508656
0.0,1,27.536659
0.0,1,27.567652
0.0,1,27.602661
0.0,1,27.631655
0.0,1,27.660652
0.0,1,27.690654
0.0,1,27.718654
0.0,1,27.793654
0.0,1,27.836654
0.0,1,27.865679
0.0,1,27.896654
0.0,1,27.928654
0.0,1,27.957677
0.0,1,27.987654
0.0,1,28.015681
0.0,1,28.047656
0.0,1,28.078655
0.0,1,28.107665
0.0,1,28.144656
0.0,1,28.174669
0.0,1,28.204693
0.0,1,28.235657
0.0,1,28.268659
0.0,1,28.297677
0.0,1,28.32767
0.0,1,28.358696
0.0,1,28.387656
0.0,1,28.415657
0.0,1,28.447659
0.0,1,28.477682
0.0,1,28.507675
0.0,1,28.534658
0.0,1,28.562692
0.0,1,28.594658
0.0,1,28.624659
0.0,1,28.651658
0.0,1,28.682693
0.0,1,28.713658
0.0,1,28.74566
0.0,1,28.771659
0.0,1,28.801676
0.0,1,28.83266
0.0,1,28.861659
0.0,1,28.890666
0.0,1,28.920689
0.0,1,28.948684
0.0,1,28.97766
0.0,1,29.006663
0.0,1,29.041682
0.0,1,29.068665
0.0,1,29.095661
0.0,1,29.122661
0.0,1,29.150662
0.0,1,29.176663
0.0,1,29.206661
0.0,1,29.231688
0.0,1,29.262663
0.0,1,29.304669
0.0,1,29.342665
0.0,1,29.379665
0.0,1,29.454671
0.0,1,29.492675
0.0,1,29.517664
0.0,1,29.544683
0.0,1,29.57669
0.0,1,29.604663
0.0,1,29.630677
0.0,1,29.658665
0.0,1,29.693664
0.0,1,29.721665
0.0,1,29.749665
0.0,1,29.777686
0.0,1,29.813668
0.0,1,29.84669
0.0,1,29.877665
0.0,1,29.911672
0.0,1,29.9447
0.0,1,29.972671
0.0,1,30.012666
0.0,1,30.043675
0.0,1,30.071668
0.0,1,30.099667
0.0,1,30.131666
0.0,1,30.163669
0.0,1,30.194667
0.0,1,30.224668
0.0,1,30.257667
0.0,1,30.288669
0.0,1,30.321671
0.0,1,30.35269
0.0,1,30.379668
0.0,1,30.410672
0.0,1,30.442669
0.0,1,30.483686
0.0,1,30.515674
0.0,1,30.542722
0.0,1,30.57567
0.0,1,30.604674
0.0,1,30.641675
0.0,1,30.677673
0.0,1,30.70667
0.0,1,30.739673
0.0,1,30.771672
0.0,1,30.809671
0.0,1,30.839672
0.0,1,30.871688
0.0,1,30.904672
0.0,1,30.938674
0.0,1,30.973672
0.0,1,31.004676
0.0,1,31.080676
0.0,1,31.124688
0.0,1,31.154674
0.0,1,31.190686
0.0,1,31.227713
0.0,1,31.255677
0.0,1,31.290696
0.0,1,31.323676
0.0,1,31.362675
0.0,1,31.393679
0.0,1,31.429675
0.0,1,31.463675
0.0,1,31.495675
0.0,1,31.525675
0.0,1,31.558695
0.0,1,31.587679
0.0,1,31.620679
0.0,1,31.653677
0.0,1,31.693677
0.0,1,31.725676
0.0,1,31.754683
0.0,1,31.789678
0.0,1,31.819691
0.0,1,31.848678
0.0,1,31.87868
0.0,1,31.91068
0.0,1,31.939692
0.0,1,31.967712
0.0,1,32.00468
0.0,1,32.032683
0.0,1,32.060716
0.0,1,32.09068
0.0,1,32.123678
0.0,1,32.150704
0.0,1,32.178705
0.0,1,32.207679
0.0,1,32.23868
0.0,1,32.26668
0.0,1,32.298684
0.0,1,32.32668
0.0,1,32.35768
0.0,1,32.386693
0.0,1,32.413688
0.0,1,32.445685
0.0,1,32.475684
0.0,1,32.5037
0.0,1,32.531681
0.0,1,32.561681
0.0,1,32.594681
0.0,1,32.623681
0.0,1,32.651682
0.0,1,32.682698
0.0,1,32.710711
0.0,1,32.738717
0.0,1,32.808702
0.0,1,32.846684
0.0,1,32.875684
0.0,1,32.90372
0.0,1,32.940684
0.0,1,32.968685
0.0,1,32.998711
0.0,1,33.034685
0.0,1,33.065705
0.0,1,33.094684
0.0,1,33.126691
0.0,1,33.158711
0.0,1,33.187711
0.0,1,33.214689
0.0,1,33.254685
0.0,1,33.2857
0.0,1,33.315691
0.0,1,33.346688
0.0,1,33.382685
0.0,1,33.410712
0.0,1,33.439686
0.0,1,33.47069
0.0,1,33.501688
0.0,1,33.533687
0.0,1,33.566687
0.0,1,33.59669
0.0,1,33.626691
0.0,1,33.653716
0.0,1,33.681687
0.0,1,33.711688
0.0,1,33.738713
0.0,1,33.769688
0.0,1,33.796718
0.0,1,33.827713
0.0,1,33.859689
0.0,1,33.888689
0.0,1,33.919689
0.0,1,33.948703
0.0,1,33.975706
0.0,1,34.002698
0.0,1,34.030694
0.0,1,34.058692
0.0,1,34.086694
0.0,1,34.112694
0.0,1,34.147697
0.0,1,34.174691
0.0,1,34.202693
0.0,1,34.229709
0.0,1,34.261694
0.0,1,34.289692
0.0,1,34.31572
0.0,1,34.341691
0.0,1,34.37371
0.0,1,34.401709
0.0,1,34.485697
0.0,1,34.519693
0.0,1,34.550699
0.0,1,34.583694
0.0,1,34.612696
0.0,1,34.644706
0.0,1,34.675695
0.0,1,34.708702
0.0,1,34.736694
0.0,1,34.764698
0.0,1,34.797695
0.0,1,34.82673
0.0,1,34.855701
0.0,1,34.883722
0.0,1,34.913695
0.0,1,34.941695
0.0,1,34.969697
0.0,1,35.001698
0.0,1,35.034697
0.0,1,35.064699
0.0,1,35.101703
0.0,1,35.137697
0.0,1,35.1687
0.0,1,35.199698
0.0,1,35.233697
0.0,1,35.269709
0.0,1,35.302699
0.0,1,35.332702
0.0,1,35.367699
0.0,1,35.397698
0.0,1,35.435699
0.0,1,35.463727
0.0,1,35.495729
0.0,1,35.52371
0.0,1,35.551733
0.0,1,35.583703
0.0,1,35.61171
0.0,1,35.6407
0.0,1,35.668734
0.0,1,35.703701
0.0,1,35.7367
0.0,1,35.763701
0.0,1,35.791702
0.0,1,35.8227
0.0,1,35.8517
0.0,1,35.882705
0.0,1,35.91071
0.0,1,35.940701
0.0,1,35.970702
0.0,1,35.998704
0.0,1,36.072706
0.0,1,36.117703
0.0,1,36.142723
0.0,1,36.173704
0.0,1,36.201704
0.0,1,36.228708
0.0,1,36.256712
0.0,1,36.287737
0.0,1,36.321743
0.0,1,36.350708
0.0,1,36.38374
0.0,1,36.415705
0.0,1,36.443745
0.0,1,36.472704
0.0,1,36.503705
0.0,1,36.534727
0.0,1,36.560706
0.0,1,36.589705
0.0,1,36.621708
0.0,1,36.648723
0.0,1,36.682707
0.0,1,36.710723
0.0,1,36.743714
0.0,1,36.774709
0.0,1,36.80673
0.0,1,36.842707
0.0,1,36.875707
0.0,1,36.906706
0.0,1,36.937712
0.0,1,36.969733
0.0,1,37.003709
0.0,1,37.033711
0.0,1,37.067711
0.0,1,37.099713
0.0,1,37.130712
0.0,1,37.160713
0.0,1,37.194709
0.0,1,37.224708
0.0,1,37.254743
0.0,1,37.287711
0.0,1,37.321727
0.0,1,37.352718
0.0,1,37.383713
0.0,1,37.41573
0.0,1,37.444711
0.0,1,37.47271
0.0,1,37.50371
0.0,1,37.532714
0.0,1,37.561713
0.0,1,37.58871
0.0,1,37.672712
0.0,1,37.704712
0.0,1,37.732713
0.0,1,37.761712
0.0,1,37.791716
0.0,1,37.82072
0.0,1,37.849713
0.0,1,37.879717
0.0,1,37.906738
0.0,1,37.935713
0.0,1,37.967714
0.0,1,37.998713
0.0,1,38.025714
0.0,1,38.054714
0.0,1,38.085742
0.0,1,38.115741
0.0,1,38.14272
0.0,1,38.169717
0.0,1,38.201734
0.0,1,38.229719
0.0,1,38.264719
0.0,1,38.292715
0.0,1,38.323741
0.0,1,38.352717
0.0,1,38.379715
0.0,1,38.406718
0.0,1,38.437739
0.0,1,38.467718
0.0,1,38.496718
0.0,1,38.531735
0.0,1,38.564743
0.0,1,38.592735
0.0,1,38.619742
0.0,1,38.651742
0.0,1,38.680718
0.0,1,38.708739
0.0,1,38.73672
0.0,1,38.766721
0.0,1,38.795723
0.0,1,38.822745
0.0,1,38.855718
0.0,1,38.886719
0.0,1,38.914721
0.0,1,38.942723
0.0,1,38.972749
0.0,1,39.000743
0.0,1,39.028721
0.0,1,39.057736
0.0,1,39.088719
0.0,1,39.116749
0.0,1,39.147745
0.0,1,39.17672
0.0,1,39.209723
0.0,1,39.236723
0.0,1,39.312749
0.0,1,39.350754
0.0,1,39.385727
0.0,1,39.416738
0.0,1,39.457737
0.0,1,39.485722
0.0,1,39.525723
0.0,1,39.559723
0.0,1,39.590724
0.0,1,39.620758
0.0,1,39.654727
0.0,1,39.683723
0.0,1,39.71174
0.0,1,39.743723
0.0,1,39.777724
0.0,1,39.807724
0.0,1,39.844729
0.0,1,39.880725
0.0,1,39.909724
0.0,1,39.939729
0.0,1,39.968729
0.0,1,39.999726
0.0,1,40.02676
0.0,1,40.055726
0.0,1,40.091745
0.0,1,40.121727
0.0,1,40.156727
0.0,1,40.185726
0.0,1,40.216727
0.0,1,40.24473
0.0,1,40.272727
0.0,1,40.304754
0.0,1,40.335768
0.0,1,40.366743
0.0,1,40.394729
0.0,1,40.424747
0.0,1,40.456728
0.0,1,40.482753
0.0,1,40.51073
0.0,1,40.541737
0.0,1,40.568729
0.0,1,40.597731
0.0,1,40.62373
0.0,1,40.653754
0.0,1,40.681739
0.0,1,40.70873
0.0,1,40.741729
0.0,1,40.772765
0.0,1,40.799749
0.0,1,40.827731
0.0,1,40.85473
0.0,1,40.884765
0.0,1,40.913738
0.0,1,40.940745
0.0,1,41.009758
0.0,1,41.045734
0.0,1,41.079768
0.0,1,41.110733
0.0,1,41.140732
0.0,1,41.169732
0.0,1,41.19977
0.0,1,41.227741
0.0,1,41.258757
0.0,1,41.287745
0.0,1,41.315735
0.0,1,41.346769
0.0,1,41.380735
0.0,1,41.410746
0.0,1,41.438764
0.0,1,41.473734
0.0,1,41.524735
0.0,1,41.558769
0.0,1,41.59474
0.0,1,41.627739
0.0,1,41.659737
0.0,1,41.691738
0.0,1,41.72377
0.0,1,41.751737
0.0,1,41.77877
0.0,1,41.808781
0.0,1,41.836738
0.0,1,41.864741
0.0,1,41.891736
0.0,1,41.92576
0.0,1,41.952773
0.0,1,41.981775
